658.05,203.24
769.76,101.10
472.42,76.99
638.46,161.24
133.02,53.85
409.18,142.29
779.12,142.57
636.27,77.85
70.78,183.79
574.95,55.51
848.01,91.72
456.01,116.95
127.01,71.46
674.85,147.64
662.37,146.08
372.55,44.99
654.19,177.81
3.28,43.30
600.40,104.67
774.25,154.04
27.58,22.80
4.96,13.39
38.56,34.08
17.62,32.76
319.67,32.36
443.28,115.97
115.33,20.23
565.84,129.73
674.49,107.10
564.52,60.84
684.56,107.39
128.54,142.44
237.44,19.75
744.83,158.22
557.88,60.10
215.25,171.62
537.04,107.79
704.78,26.20
571.34,78.83
58.96,141.41
497.33,45.56
802.79,63.63
732.69,35.98
695.83,152.95
191.12,80.51
484.75,55.47
772.40,127.70
536.95,128.81
8.28,48.85
599.12,144.09
678.03,0.47
490.17,173.26
110.92,108.57
646.95,65.44
785.32,128.76
700.21,118.25
612.96,68.18
60.86,115.69
495.98,10.71
746.90,181.88
565.25,91.70
38.89,59.90
663.57,115.46
760.19,111.11
359.39,77.12
296.68,159.57
640.91,28.04
694.62,206.03
706.26,82.77
535.79,83.51
51.73,132.62
696.90,137.15
728.50,71.51
391.01,134.01
154.88,23.70
708.53,229.71
648.64,108.47
344.92,73.66
274.27,131.66
713.62,140.68
550.31,98.28
877.57,136.14
345.86,18.19
84.53,209.52
706.57,76.74
607.35,97.05
393.39,112.52
329.33,155.63
698.21,107.90
784.06,158.46
157.91,32.77
448.85,239.86
728.72,60.06
627.97,108.11
718.39,144.80
316.19,111.92
194.37,148.41
649.48,113.82
744.14,21.65
285.29,203.27
448.21,62.11
687.49,88.88
565.10,109.96
3.13,111.99
449.85,175.64
665.64,154.25
693.40,44.44
715.08,210.69
284.96,34.61
373.63,106.85
745.54,98.61
582.88,90.63
88.04,149.22
499.77,112.08
674.46,36.97
609.80,188.12
40.45,36.55
581.53,97.17
769.76,123.42
712.01,33.01
637.86,180.39
108.06,115.64
378.65,64.80
708.86,179.41
622.85,30.40
28.91,84.10
621.47,156.89
692.30,40.43
439.45,245.01
210.92,123.46
571.60,83.44
701.67,212.63
702.42,20.51
598.69,94.25
64.91,124.50
522.55,69.67
811.20,227.15
454.54,138.35
75.98,73.53
631.19,188.63
642.18,11.98
370.34,43.99
223.05,153.22
660.50,28.98
708.30,187.13
765.01,85.13
475.75,75.02
63.17,182.65
572.23,13.13
748.40,72.03
464.18,145.74
98.18,11.29
730.51,171.67
751.06,111.52
336.80,116.80
434.08,104.79
586.88,11.20
786.64,41.50
735.35,159.07
487.65,4.09
80.89,184.44
653.55,135.75
828.02,116.47
297.37,143.42
276.48,28.35
755.34,55.05
618.84,170.47
226.82,48.48
436.03,186.51
775.84,68.21
733.24,70.39
779.80,134.93
305.46,11.97
268.19,79.04
711.93,161.75
686.36,15.77
268.71,165.09
303.08,76.33
805.00,66.74
717.04,122.47
270.65,11.34
579.69,86.72
768.43,148.78
570.92,39.64
681.05,133.87
267.43,80.51
288.98,107.57
719.97,110.65
709.67,27.97
179.30,75.43
503.35,139.21
821.77,33.40
508.74,158.29
4.04,114.72
547.89,111.62
733.64,99.11
579.92,14.50
718.76,79.13
177.36,131.69
468.41,45.29
804.69,146.36
573.73,57.36
16.58,87.71
535.54,103.74
752.40,48.18
450.92,128.41
29.19,148.35
752.98,65.68
789.35,141.98
434.55,27.53
647.29,109.74
82.13,97.85
489.70,60.09
569.96,114.42
1062.20,165.51
155.16,101.72
451.92,136.94
1141.60,44.24
359.94,88.14
183.81,85.25
769.18,65.02
472.21,111.96
499.64,164.57
701.62,53.16
76.08,108.28
596.90,14.58
1064.64,103.74
222.81,74.56
207.61,61.03
1030.60,148.80
321.31,145.21
917.36,96.04
475.76,120.79
473.50,5.01
1124.85,148.48
1087.58,74.13
166.18,82.29
100.79,130.28
523.45,130.54
852.04,115.29
197.67,113.41
250.89,2.77
1230.78,139.52
326.61,66.90
642.57,89.32
904.74,82.87
408.69,118.92
980.10,93.63
1002.51,87.92
40.41,20.03
85.03,141.38
932.17,42.69
595.75,117.39
443.97,151.45
524.69,101.40
762.03,127.08
654.35,116.11
5.70,35.96
404.57,117.04
756.49,10.81
598.43,104.57
754.67,135.76
220.21,95.16
435.67,124.31
806.05,127.19
609.46,11.66
61.97,172.70
432.61,16.10
816.23,155.81
572.37,128.39
81.29,164.85
719.51,95.35
857.93,112.86
454.73,1.92
592.23,134.58
122.84,5.12
461.07,98.53
740.74,125.42
571.28,87.49
30.96,119.60
644.30,97.90
836.67,23.76
408.47,120.14
215.38,19.25
685.29,136.55
673.75,132.84
350.11,136.71
613.01,132.30
38.06,107.30
574.40,21.31
902.27,127.69
484.99,10.63
124.10,184.85
611.80,171.78
776.14,110.60
329.73,157.57
207.15,95.94
775.34,48.32
692.70,189.12
217.17,17.20
405.46,144.84
150.85,148.74
672.15,119.99
727.75,157.64
310.88,92.32
161.10,37.21
721.35,155.11
773.45,16.22
246.78,168.24
423.51,163.75
775.66,141.30
588.30,152.90
61.37,105.85
431.08,13.04
198.41,168.94
689.09,25.92
754.36,140.62
303.05,113.97
351.57,115.61
763.49,138.18
636.59,117.86
41.38,73.44
